"time (s)","/A (V)","/B (V)","/VP (V)","/S (V)","/Cout (V)"
1.437E-9,1.800,1.800,-214.6E-9,-41.96E-9,53.95E-6
1.537E-9,1.800,1.800,-182.9E-9,-34.80E-9,49.62E-6
1.562E-9,1.800,1.800,-176.1E-9,-33.31E-9,48.64E-6
1.612E-9,1.800,1.800,-163.6E-9,-30.56E-9,46.79E-6
1.712E-9,1.800,1.800,-141.7E-9,-25.66E-9,43.46E-6
1.812E-9,1.800,1.800,-123.6E-9,-21.66E-9,40.56E-6
1.837E-9,1.800,1.800,-119.8E-9,-20.86E-9,39.9E-6
1.887E-9,1.800,1.800,-112.8E-9,-19.32E-9,38.63E-6
1.943E-9,1.800,1.800,-105.5E-9,-17.65E-9,37.28E-6
2.0E-9,1.800,1.800,-98.71E-9,-16.11E-9,36.02E-6
2.0E-9,1.800,1.800,3.078E-3,115.5E-6,63.57E-6
2.0E-9,1.800,1.800,6.003E-3,215.2E-6,94.09E-6
2.0E-9,1.800,1.800,7.11E-3,251.2E-6,106.8E-6
2.0E-9,1.800,1.800,9.082E-3,313.8E-6,131.3E-6
2.0E-9,1.800,1.800,11.77E-3,398.2E-6,168.0E-6
2.0E-9,1.800,1.800,15.57E-3,518.2E-6,224.7E-6
2.0E-9,1.800,1.800,16.72E-3,554.9E-6,242.8E-6
2.0E-9,1.800,1.800,19.11E-3,632.3E-6,281.8E-6
2.001E-9,1.800,1.800,24.28E-3,803.8E-6,370.4E-6
2.001E-9,1.800,1.800,31.18E-3,1.042E-3,496.0E-6
2.001E-9,1.800,1.800,33.28E-3,1.116E-3,535.5E-6
2.001E-9,1.800,1.800,37.64E-3,1.273E-3,619.4E-6
2.001E-9,1.800,1.800,47.0E-3,1.621E-3,805.4E-6
2.001E-9,1.800,1.800,49.53E-3,1.718E-3,856.9E-6
2.001E-9,1.800,1.800,53.43E-3,1.868E-3,936.9E-6
2.001E-9,1.800,1.800,57.45E-3,2.025E-3,1.02E-3
2.001E-9,1.800,1.800,57.92E-3,2.042E-3,1.031E-3
2.001E-9,1.800,1.800,58.81E-3,2.075E-3,1.051E-3
2.001E-9,1.800,1.800,60.44E-3,2.136E-3,1.092E-3
2.001E-9,1.800,1.800,61.83E-3,2.19E-3,1.129E-3
2.001E-9,1.800,1.800,62.25E-3,2.206E-3,1.140E-3
2.001E-9,1.800,1.800,63.09E-3,2.24E-3,1.163E-3
2.001E-9,1.800,1.800,64.75E-3,2.309E-3,1.208E-3
2.001E-9,1.800,1.800,65.46E-3,2.339E-3,1.227E-3
2.001E-9,1.800,1.800,66.89E-3,2.401E-3,1.266E-3
2.001E-9,1.800,1.800,69.68E-3,2.527E-3,1.343E-3
2.001E-9,1.800,1.800,73.62E-3,2.714E-3,1.452E-3
2.001E-9,1.800,1.800,74.71E-3,2.767E-3,1.482E-3
2.001E-9,1.800,1.800,76.86E-3,2.874E-3,1.542E-3
2.001E-9,1.800,1.800,81.07E-3,3.09E-3,1.659E-3
2.001E-9,1.800,1.800,86.47E-3,3.374E-3,1.807E-3
2.001E-9,1.800,1.800,88.08E-3,3.461E-3,1.851E-3
2.002E-9,1.800,1.800,91.26E-3,3.632E-3,1.936E-3
2.002E-9,1.800,1.800,97.47E-3,3.972E-3,2.1E-3
2.002E-9,1.800,1.800,99.91E-3,4.105E-3,2.163E-3
2.002E-9,1.800,1.800,104.7E-3,4.369E-3,2.284E-3
2.002E-9,1.800,1.800,114.1E-3,4.877E-3,2.509E-3
2.002E-9,1.800,1.800,126.0E-3,5.506E-3,2.771E-3
2.002E-9,1.800,1.800,129.3E-3,5.678E-3,2.839E-3
2.002E-9,1.800,1.800,135.9E-3,6.008E-3,2.966E-3
2.003E-9,1.800,1.800,148.8E-3,6.619E-3,3.188E-3
2.003E-9,1.800,1.800,163.7E-3,7.264E-3,3.403E-3
2.003E-9,1.800,1.800,167.9E-3,7.43E-3,3.454E-3
2.003E-9,1.800,1.800,176.1E-3,7.742E-3,3.545E-3
2.004E-9,1.800,1.800,192.1E-3,8.295E-3,3.69E-3
2.004E-9,1.800,1.800,197.6E-3,8.465E-3,3.728E-3
2.004E-9,1.800,1.800,208.5E-3,8.776E-3,3.791E-3
2.005E-9,1.800,1.800,229.8E-3,9.293E-3,3.866E-3
2.005E-9,1.800,1.800,254.4E-3,9.751E-3,3.884E-3
2.005E-9,1.800,1.800,260.6E-3,9.845E-3,3.878E-3
2.006E-9,1.800,1.800,272.9E-3,10.01E-3,3.855E-3
2.006E-9,1.800,1.800,295.0E-3,10.24E-3,3.783E-3
2.007E-9,1.800,1.800,321.6E-3,10.4E-3,3.654E-3
2.007E-9,1.800,1.800,329.5E-3,10.43E-3,3.608E-3
2.007E-9,1.800,1.800,345.1E-3,10.46E-3,3.507E-3
2.008E-9,1.800,1.800,375.6E-3,10.43E-3,3.284E-3
2.008E-9,1.800,1.800,383.9E-3,10.4E-3,3.218E-3
2.009E-9,1.800,1.800,400.2E-3,10.33E-3,3.083E-3
2.010E-9,1.800,1.800,427.2E-3,10.14E-3,2.849E-3
2.011E-9,1.800,1.800,464.0E-3,9.771E-3,2.510E-3
2.011E-9,1.800,1.800,472.8E-3,9.663E-3,2.427E-3
2.011E-9,1.800,1.800,488.9E-3,9.444E-3,2.272E-3
2.012E-9,1.800,1.800,508.9E-3,9.137E-3,2.077E-3
2.013E-9,1.800,1.800,545.8E-3,8.458E-3,1.717E-3
2.014E-9,1.800,1.800,556.0E-3,8.243E-3,1.618E-3
2.014E-9,1.800,1.800,573.1E-3,7.854E-3,1.453E-3
2.015E-9,1.800,1.800,595.7E-3,7.287E-3,1.239E-3
2.015E-9,1.800,1.800,603.4E-3,7.076E-3,1.166E-3
2.016E-9,1.800,1.800,618.7E-3,6.637E-3,1.025E-3
2.017E-9,1.800,1.800,641.9E-3,5.914E-3,817.8E-6
2.018E-9,1.800,1.800,671.5E-3,4.891E-3,564.7E-6
2.018E-9,1.800,1.800,679.8E-3,4.585E-3,496.8E-6
2.019E-9,1.800,1.800,695.9E-3,3.964E-3,367.1E-6
2.02E-9,1.800,1.800,717.2E-3,3.098E-3,202.1E-6
2.021E-9,1.800,1.800,744.2E-3,1.932E-3,3.138E-6
2.021E-9,1.800,1.800,751.2E-3,1.618E-3,-46.51E-6
2.022E-9,1.800,1.800,765.0E-3,984.5E-6,-143.8E-6
2.023E-9,1.800,1.800,788.0E-3,-103.9E-6,-304.8E-6
2.023E-9,1.800,1.800,794.6E-3,-426.7E-6,-349.2E-6
2.024E-9,1.800,1.800,807.8E-3,-1.111E-3,-434.0E-6
2.024E-9,1.800,1.800,814.5E-3,-1.465E-3,-476.3E-6
2.024E-9,1.800,1.800,816.0E-3,-1.543E-3,-485.4E-6
2.024E-9,1.800,1.800,819.0E-3,-1.697E-3,-503.4E-6
2.025E-9,1.800,1.800,824.8E-3,-2.005E-3,-538.5E-6
2.025E-9,1.800,1.800,836.4E-3,-2.617E-3,-605.7E-6
2.025E-9,1.800,1.800,840.8E-3,-2.852E-3,-630.6E-6
2.026E-9,1.800,1.800,849.6E-3,-3.319E-3,-678.6E-6
2.027E-9,1.800,1.800,866.9E-3,-4.241E-3,-767.3E-6
2.027E-9,1.800,1.800,873.8E-3,-4.609E-3,-800.3E-6
2.028E-9,1.800,1.800,887.3E-3,-5.335E-3,-861.8E-6
2.029E-9,1.800,1.800,913.7E-3,-6.756E-3,-966.7E-6
2.031E-9,1.800,1.800,940.5E-3,-8.135E-3,-1.047E-3
2.031E-9,1.800,1.800,945.9E-3,-8.406E-3,-1.06E-3
2.031E-9,1.800,1.800,956.7E-3,-8.939E-3,-1.083E-3
2.032E-9,1.800,1.800,973.9E-3,-9.796E-3,-1.113E-3
2.033E-9,1.800,1.800,991.5E-3,-10.69E-3,-1.136E-3
2.034E-9,1.800,1.800,997.1E-3,-10.98E-3,-1.142E-3
2.034E-9,1.800,1.800,1.008,-11.57E-3,-1.150E-3
2.036E-9,1.800,1.800,1.030,-12.77E-3,-1.157E-3
2.036E-9,1.800,1.800,1.038,-13.20E-3,-1.156E-3
2.037E-9,1.800,1.800,1.052,-14.1E-3,-1.150E-3
2.039E-9,1.800,1.800,1.076,-15.64E-3,-1.129E-3
2.04E-9,1.800,1.800,1.096,-17.24E-3,-1.099E-3
2.04E-9,1.800,1.800,1.101,-17.63E-3,-1.091E-3
2.041E-9,1.800,1.800,1.110,-18.45E-3,-1.073E-3
2.042E-9,1.800,1.800,1.128,-20.23E-3,-1.036E-3
2.043E-9,1.800,1.800,1.143,-21.84E-3,-1.003E-3
2.043E-9,1.800,1.800,1.147,-22.26E-3,-994.7E-6
2.044E-9,1.800,1.800,1.154,-23.1E-3,-978.5E-6
2.045E-9,1.800,1.800,1.169,-24.75E-3,-948.9E-6
2.045E-9,1.800,1.800,1.174,-25.33E-3,-939.0E-6
2.046E-9,1.800,1.800,1.184,-26.5E-3,-920.1E-6
2.048E-9,1.800,1.800,1.205,-28.81E-3,-886.3E-6
2.049E-9,1.800,1.800,1.227,-31.48E-3,-854.0E-6
2.05E-9,1.800,1.800,1.233,-32.14E-3,-847.2E-6
2.05E-9,1.800,1.800,1.241,-33.13E-3,-838.0E-6
2.051E-9,1.800,1.800,1.250,-34.12E-3,-830.0E-6
2.051E-9,1.800,1.800,1.251,-34.27E-3,-829.8E-6
2.051E-9,1.800,1.800,1.253,-34.57E-3,-831.3E-6
2.052E-9,1.800,1.800,1.256,-35.1E-3,-841.2E-6
2.052E-9,1.800,1.800,1.257,-35.27E-3,-846.3E-6
2.052E-9,1.800,1.800,1.259,-35.63E-3,-859.3E-6
2.052E-9,1.800,1.800,1.262,-36.35E-3,-893.9E-6
2.053E-9,1.800,1.800,1.267,-37.53E-3,-968.0E-6
2.053E-9,1.800,1.800,1.268,-37.89E-3,-993.9E-6
2.054E-9,1.800,1.800,1.270,-38.62E-3,-1.048E-3
2.054E-9,1.800,1.800,1.273,-40.03E-3,-1.161E-3
2.055E-9,1.800,1.800,1.274,-41.5E-3,-1.282E-3
2.056E-9,1.800,1.800,1.274,-41.88E-3,-1.314E-3
2.056E-9,1.800,1.800,1.274,-42.62E-3,-1.375E-3
2.057E-9,1.800,1.800,1.272,-43.73E-3,-1.465E-3
2.057E-9,1.800,1.800,1.271,-44.1E-3,-1.495E-3
2.058E-9,1.800,1.800,1.268,-44.78E-3,-1.549E-3
2.059E-9,1.800,1.800,1.262,-45.89E-3,-1.627E-3
2.06E-9,1.800,1.800,1.251,-46.73E-3,-1.679E-3
2.061E-9,1.800,1.800,1.247,-46.87E-3,-1.688E-3
2.061E-9,1.800,1.800,1.239,-47.03E-3,-1.705E-3
2.062E-9,1.800,1.800,1.233,-47.04E-3,-1.717E-3
2.062E-9,1.800,1.800,1.232,-47.03E-3,-1.719E-3
2.062E-9,1.800,1.800,1.229,-47.01E-3,-1.723E-3
2.062E-9,1.800,1.800,1.225,-46.93E-3,-1.729E-3
2.063E-9,1.800,1.800,1.223,-46.91E-3,-1.73E-3
2.063E-9,1.800,1.800,1.221,-46.85E-3,-1.733E-3
2.063E-9,1.800,1.800,1.216,-46.7E-3,-1.739E-3
2.064E-9,1.800,1.800,1.205,-46.27E-3,-1.749E-3
2.064E-9,1.800,1.800,1.200,-45.99E-3,-1.754E-3
2.065E-9,1.800,1.800,1.188,-45.31E-3,-1.764E-3
2.066E-9,1.800,1.800,1.162,-43.39E-3,-1.782E-3
2.068E-9,1.800,1.800,1.112,-38.56E-3,-1.818E-3
2.069E-9,1.800,1.800,1.105,-37.74E-3,-1.823E-3
2.069E-9,1.800,1.800,1.090,-35.98E-3,-1.836E-3
2.07E-9,1.800,1.800,1.070,-33.57E-3,-1.852E-3
2.07E-9,1.800,1.800,1.065,-32.93E-3,-1.856E-3
2.071E-9,1.800,1.800,1.057,-31.94E-3,-1.863E-3
2.071E-9,1.800,1.800,1.050,-30.92E-3,-1.87E-3
2.071E-9,1.800,1.800,1.048,-30.66E-3,-1.871E-3
2.071E-9,1.800,1.800,1.044,-30.13E-3,-1.872E-3
2.071E-9,1.800,1.800,1.039,-29.3E-3,-1.869E-3
2.072E-9,1.800,1.800,1.029,-27.81E-3,-1.855E-3
2.072E-9,1.800,1.800,1.027,-27.38E-3,-1.848E-3
2.072E-9,1.800,1.800,1.022,-26.5E-3,-1.833E-3
2.073E-9,1.800,1.800,1.012,-24.69E-3,-1.794E-3
2.073E-9,1.800,1.800,1.008,-23.96E-3,-1.776E-3
2.073E-9,1.800,1.800,1.000,-22.47E-3,-1.736E-3
2.074E-9,1.800,1.800,985.2E-3,-19.36E-3,-1.645E-3
2.075E-9,1.800,1.800,963.7E-3,-14.47E-3,-1.492E-3
2.075E-9,1.800,1.800,957.5E-3,-12.95E-3,-1.443E-3
2.076E-9,1.800,1.800,945.1E-3,-9.828E-3,-1.344E-3
2.077E-9,1.800,1.800,921.1E-3,-3.321E-3,-1.143E-3
2.077E-9,1.800,1.800,917.6E-3,-2.33E-3,-1.113E-3
2.077E-9,1.800,1.800,910.7E-3,-330.1E-6,-1.054E-3
2.078E-9,1.800,1.800,909.3E-3,84.79E-6,-1.042E-3
2.078E-9,1.800,1.800,906.5E-3,917.7E-6,-1.018E-3
2.078E-9,1.800,1.800,904.0E-3,1.645E-3,-996.4E-6
2.078E-9,1.800,1.800,903.4E-3,1.797E-3,-991.6E-6
2.078E-9,1.800,1.800,902.3E-3,2.099E-3,-982.2E-6
2.078E-9,1.800,1.800,901.1E-3,2.443E-3,-971.6E-6
2.078E-9,1.800,1.800,898.7E-3,3.124E-3,-951.0E-6
2.078E-9,1.800,1.800,898.0E-3,3.306E-3,-945.6E-6
2.078E-9,1.800,1.800,896.7E-3,3.67E-3,-934.8E-6
2.078E-9,1.800,1.800,894.2E-3,4.405E-3,-913.3E-6
2.078E-9,1.800,1.800,893.1E-3,4.717E-3,-904.2E-6
2.078E-9,1.800,1.800,891.0E-3,5.344E-3,-886.2E-6
2.079E-9,1.800,1.800,886.7E-3,6.607E-3,-850.4E-6
2.079E-9,1.800,1.800,878.3E-3,9.168E-3,-780.1E-6
2.079E-9,1.800,1.800,875.5E-3,10.04E-3,-756.9E-6
2.08E-9,1.800,1.800,870.0E-3,11.79E-3,-711.0E-6
2.08E-9,1.800,1.800,859.0E-3,15.35E-3,-621.8E-6
2.081E-9,1.800,1.800,838.8E-3,22.23E-3,-463.5E-6
2.082E-9,1.800,1.800,830.9E-3,25.03E-3,-404.0E-6
2.083E-9,1.800,1.800,815.5E-3,30.74E-3,-291.0E-6
2.085E-9,1.800,1.800,785.8E-3,42.48E-3,-90.15E-6
2.085E-9,1.800,1.800,778.6E-3,45.45E-3,-45.56E-6
2.086E-9,1.800,1.800,764.6E-3,51.43E-3,37.77E-6
2.088E-9,1.800,1.800,739.6E-3,62.57E-3,165.9E-6
2.089E-9,1.800,1.800,714.8E-3,74.11E-3,275.8E-6
2.09E-9,1.800,1.800,708.7E-3,77.05E-3,300.5E-6
2.091E-9,1.800,1.800,696.6E-3,82.89E-3,345.8E-6
2.092E-9,1.800,1.800,674.4E-3,93.65E-3,417.8E-6
2.094E-9,1.800,1.800,652.1E-3,104.4E-3,476.2E-6
2.095E-9,1.800,1.800,646.6E-3,107.1E-3,488.3E-6
2.096E-9,1.800,1.800,635.7E-3,112.2E-3,509.5E-6
2.097E-9,1.800,1.800,614.6E-3,121.7E-3,541.4E-6
2.098E-9,1.800,1.800,609.0E-3,124.1E-3,547.8E-6
2.099E-9,1.800,1.800,598.0E-3,128.6E-3,558.0E-6
2.101E-9,1.800,1.800,576.5E-3,136.5E-3,569.3E-6
2.103E-9,1.800,1.800,552.5E-3,143.5E-3,569.8E-6
2.104E-9,1.800,1.800,546.1E-3,145.1E-3,567.8E-6
2.105E-9,1.800,1.800,533.5E-3,147.5E-3,561.7E-6
2.107E-9,1.800,1.800,509.0E-3,150.2E-3,543.2E-6
2.111E-9,1.800,1.800,476.4E-3,149.2E-3,508.7E-6
2.111E-9,1.800,1.800,469.2E-3,148.2E-3,499.9E-6
2.113E-9,1.800,1.800,455.2E-3,145.5E-3,482.3E-6
2.115E-9,1.800,1.800,435.8E-3,140.1E-3,457.8E-6
2.116E-9,1.800,1.800,431.1E-3,138.5E-3,452.0E-6
2.117E-9,1.800,1.800,422.0E-3,135.1E-3,440.9E-6
2.119E-9,1.800,1.800,406.3E-3,128.4E-3,422.4E-6
2.121E-9,1.800,1.800,389.6E-3,120.3E-3,404.0E-6
2.122E-9,1.800,1.800,385.5E-3,118.1E-3,399.7E-6
2.123E-9,1.800,1.800,377.3E-3,113.6E-3,391.5E-6
2.125E-9,1.800,1.800,361.8E-3,104.7E-3,376.5E-6
2.127E-9,1.800,1.800,346.2E-3,95.16E-3,362.1E-6
2.128E-9,1.800,1.800,342.2E-3,92.64E-3,358.5E-6
2.129E-9,1.800,1.800,334.3E-3,87.65E-3,351.7E-6
2.132E-9,1.800,1.800,319.3E-3,78.13E-3,338.7E-6
2.132E-9,1.800,1.800,315.2E-3,75.54E-3,335.2E-6
2.134E-9,1.800,1.800,307.3E-3,70.51E-3,328.4E-6
2.137E-9,1.800,1.800,292.2E-3,61.16E-3,315.2E-6
2.14E-9,1.800,1.800,276.5E-3,51.88E-3,300.9E-6
2.141E-9,1.800,1.800,272.7E-3,49.71E-3,297.3E-6
2.142E-9,1.800,1.800,265.3E-3,45.62E-3,290.3E-6
2.145E-9,1.800,1.800,251.5E-3,38.37E-3,275.9E-6
2.149E-9,1.800,1.800,236.6E-3,31.37E-3,258.3E-6
2.15E-9,1.800,1.800,232.9E-3,29.75E-3,253.4E-6
2.152E-9,1.800,1.800,225.7E-3,26.81E-3,243.4E-6
2.156E-9,1.800,1.800,212.3E-3,21.99E-3,222.7E-6
2.157E-9,1.800,1.800,208.7E-3,20.84E-3,216.8E-6
2.159E-9,1.800,1.800,201.6E-3,18.83E-3,204.4E-6
2.163E-9,1.800,1.800,192.6E-3,16.61E-3,187.0E-6
2.166E-9,1.800,1.800,183.5E-3,14.73E-3,168.8E-6
2.167E-9,1.800,1.800,180.7E-3,14.22E-3,163.1E-6
2.169E-9,1.800,1.800,175.2E-3,13.31E-3,152.3E-6
2.173E-9,1.800,1.800,164.8E-3,11.79E-3,133.3E-6
2.178E-9,1.800,1.800,154.3E-3,10.49E-3,116.3E-6
2.18E-9,1.800,1.800,151.3E-3,10.15E-3,111.8E-6
2.182E-9,1.800,1.800,145.3E-3,9.513E-3,103.5E-6
2.188E-9,1.800,1.800,134.1E-3,8.386E-3,89.92E-6
2.19E-9,1.800,1.800,130.6E-3,8.059E-3,86.34E-6
2.194E-9,1.800,1.800,124.0E-3,7.447E-3,80.11E-6
2.201E-9,1.800,1.800,111.6E-3,6.358E-3,70.67E-6
2.203E-9,1.800,1.800,108.6E-3,6.101E-3,68.79E-6
2.207E-9,1.800,1.800,102.6E-3,5.618E-3,65.57E-6
2.215E-9,1.800,1.800,91.66E-3,4.759E-3,60.73E-6
2.217E-9,1.800,1.800,88.76E-3,4.542E-3,59.71E-6
2.222E-9,1.800,1.800,83.2E-3,4.137E-3,57.95E-6
2.231E-9,1.800,1.800,72.97E-3,3.429E-3,55.17E-6
2.234E-9,1.800,1.800,68.81E-3,3.156E-3,54.18E-6
2.242E-9,1.800,1.800,61.1E-3,2.672E-3,52.43E-6
2.258E-9,1.800,1.800,47.89E-3,1.908E-3,49.32E-6
2.269E-9,1.800,1.800,39.99E-3,1.495E-3,47.25E-6
2.272E-9,1.800,1.800,38.25E-3,1.41E-3,46.76E-6
2.278E-9,1.800,1.800,34.96E-3,1.255E-3,45.79E-6
2.289E-9,1.800,1.800,29.15E-3,992.8E-6,43.86E-6
2.301E-9,1.800,1.800,23.79E-3,766.9E-6,41.85E-6
2.304E-9,1.800,1.800,22.49E-3,715.3E-6,41.32E-6
2.311E-9,1.800,1.800,20.1E-3,622.8E-6,40.30E-6
2.325E-9,1.800,1.800,16.01E-3,471.7E-6,38.41E-6
2.328E-9,1.800,1.800,15.0E-3,436.4E-6,37.92E-6
2.336E-9,1.800,1.800,13.17E-3,373.6E-6,36.98E-6
2.351E-9,1.800,1.800,10.11E-3,273.5E-6,35.31E-6
2.369E-9,1.800,1.800,7.33E-3,188.0E-6,33.65E-6
2.375E-9,1.800,1.800,6.684E-3,169.3E-6,33.24E-6
2.385E-9,1.800,1.800,5.556E-3,137.4E-6,32.49E-6
2.406E-9,1.800,1.800,3.807E-3,90.08E-6,31.23E-6
2.433E-9,1.800,1.800,2.312E-3,51.75E-6,30.02E-6
2.441E-9,1.800,1.800,1.992E-3,44.06E-6,29.72E-6
2.457E-9,1.800,1.800,1.48E-3,32.02E-6,29.19E-6
2.489E-9,1.800,1.800,792.8E-6,16.4E-6,28.35E-6
2.501E-9,1.800,1.800,633.4E-6,12.92E-6,28.1E-6
2.524E-9,1.800,1.800,402.7E-6,7.989E-6,27.65E-6
2.572E-9,1.800,1.800,144.1E-6,2.576E-6,26.91E-6
2.654E-9,1.800,1.800,-15.96E-6,-679.0E-9,25.84E-6
2.679E-9,1.800,1.800,-18.52E-6,-725.4E-9,25.56E-6
2.729E-9,1.800,1.800,-13.22E-6,-563.9E-9,25.02E-6
2.829E-9,1.800,1.800,-4.019E-6,-341.6E-9,24.01E-6
2.929E-9,1.800,1.800,-198.8E-9,-273.1E-9,23.07E-6
2.954E-9,1.800,1.800,79.5E-9,-271.5E-9,22.84E-6
3.004E-9,1.800,1.800,323.0E-9,-270.8E-9,22.41E-6
3.104E-9,1.800,1.800,430.2E-9,-269.8E-9,21.58E-6
3.129E-9,1.800,1.800,412.2E-9,-269.6E-9,21.39E-6
3.179E-9,1.800,1.800,382.8E-9,-269.5E-9,21.0E-6
3.279E-9,1.800,1.800,358.8E-9,-269.1E-9,20.27E-6
3.379E-9,1.800,1.800,355.8E-9,-268.4E-9,19.59E-6
3.404E-9,1.800,1.800,357.0E-9,-268.3E-9,19.43E-6
3.454E-9,1.800,1.800,359.0E-9,-267.9E-9,19.11E-6
3.554E-9,1.800,1.800,361.4E-9,-267.2E-9,18.5E-6
3.654E-9,1.800,1.800,362.8E-9,-266.6E-9,17.93E-6
3.679E-9,1.800,1.800,363.1E-9,-266.5E-9,17.79E-6
3.729E-9,1.800,1.800,363.6E-9,-266.2E-9,17.52E-6
3.829E-9,1.800,1.800,364.5E-9,-265.6E-9,17.01E-6
3.854E-9,1.800,1.800,364.7E-9,-265.5E-9,16.88E-6
3.904E-9,1.800,1.800,365.2E-9,-265.2E-9,16.64E-6
4.004E-9,1.800,1.800,366.0E-9,-264.7E-9,16.17E-6
4.104E-9,1.800,1.800,366.7E-9,-264.2E-9,15.73E-6
4.129E-9,1.800,1.800,366.9E-9,-264.1E-9,15.63E-6
4.179E-9,1.800,1.800,367.2E-9,-263.8E-9,15.42E-6
4.279E-9,1.800,1.800,367.8E-9,-263.3E-9,15.01E-6
4.379E-9,1.800,1.800,368.3E-9,-262.9E-9,14.63E-6
4.404E-9,1.800,1.800,368.4E-9,-262.8E-9,14.54E-6
4.454E-9,1.800,1.800,368.6E-9,-262.6E-9,14.36E-6
4.554E-9,1.800,1.800,369.0E-9,-262.1E-9,14.01E-6
4.579E-9,1.800,1.800,369.1E-9,-262.0E-9,13.92E-6
4.629E-9,1.800,1.800,369.3E-9,-261.8E-9,13.76E-6
4.729E-9,1.800,1.800,369.6E-9,-261.4E-9,13.43E-6
4.829E-9,1.800,1.800,369.9E-9,-261.0E-9,13.12E-6
4.854E-9,1.800,1.800,370.0E-9,-260.9E-9,13.05E-6
4.904E-9,1.800,1.800,370.1E-9,-260.7E-9,12.9E-6
5.0E-9,1.800,1.800,370.3E-9,-260.4E-9,12.63E-6
5.0E-9,1.800,1.744,-106.2E-6,-66.02E-6,-1.066E-3
5.001E-9,1.800,1.695,-203.9E-6,-128.2E-6,-2.33E-3
5.001E-9,1.800,1.690,-214.0E-6,-134.5E-6,-2.466E-3
5.001E-9,1.800,1.681,-235.2E-6,-147.3E-6,-2.746E-3
5.001E-9,1.800,1.662,-281.1E-6,-174.5E-6,-3.331E-3
5.001E-9,1.800,1.643,-331.9E-6,-204.2E-6,-3.955E-3
5.001E-9,1.800,1.637,-347.3E-6,-213.2E-6,-4.14E-3
5.001E-9,1.800,1.626,-378.9E-6,-231.5E-6,-4.511E-3
5.001E-9,1.800,1.604,-444.7E-6,-269.5E-6,-5.257E-3
5.001E-9,1.800,1.570,-550.8E-6,-330.7E-6,-6.389E-3
5.001E-9,1.800,1.560,-583.6E-6,-349.6E-6,-6.723E-3
5.001E-9,1.800,1.540,-650.2E-6,-387.8E-6,-7.381E-3
5.002E-9,1.800,1.499,-785.7E-6,-465.4E-6,-8.649E-3
5.002E-9,1.800,1.487,-825.6E-6,-488.2E-6,-9.004E-3
5.002E-9,1.800,1.464,-905.6E-6,-533.7E-6,-9.697E-3
5.002E-9,1.800,1.417,-1.066E-3,-624.1E-6,-11.0E-3
5.002E-9,1.800,1.357,-1.266E-3,-735.8E-6,-12.51E-3
5.003E-9,1.800,1.340,-1.323E-3,-767.5E-6,-12.92E-3
5.003E-9,1.800,1.305,-1.437E-3,-829.9E-6,-13.69E-3
5.003E-9,1.800,1.236,-1.660E-3,-949.8E-6,-15.07E-3
5.004E-9,1.800,1.139,-1.957E-3,-1.106E-3,-16.66E-3
5.004E-9,1.800,1.111,-2.04E-3,-1.149E-3,-17.04E-3
5.004E-9,1.800,1.056,-2.2E-3,-1.23E-3,-17.72E-3
5.005E-9,1.800,959.4E-3,-2.464E-3,-1.358E-3,-18.64E-3
5.005E-9,1.800,933.3E-3,-2.532E-3,-1.390E-3,-18.83E-3
5.005E-9,1.800,881.0E-3,-2.664E-3,-1.45E-3,-19.15E-3
5.006E-9,1.800,805.8E-3,-2.843E-3,-1.529E-3,-19.44E-3
5.006E-9,1.800,741.2E-3,-2.989E-3,-1.59E-3,-19.53E-3
5.006E-9,1.800,723.1E-3,-3.028E-3,-1.607E-3,-19.53E-3
5.006E-9,1.800,686.8E-3,-3.106E-3,-1.638E-3,-19.49E-3
5.007E-9,1.800,614.1E-3,-3.255E-3,-1.699E-3,-19.3E-3
